Maturity,Yield
1,0.056
2,0.0559
3,0.054
4,0.0541
6,0.0526
12,0.0479
24,0.0423
36,0.0401
48,nan
60,0.0384
72,nan
84,0.0388
96,nan
120,0.0388
180,nan
240,0.042
300,nan
360,0.0403
