Date,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,β0_dsa,β1_dsa,β2_dsa,β3_dsa,tau0_dsa,tau1_dsa,residual_dsa
11/8/23,5.52,5.54,5.54,5.49,5.46,5.34,4.93,4.65,4.51,4.54,4.49,4.82,4.64,0.292826257135272,-0.2458196673362591,-0.2899319647983356,0.03200957678017651,644.4984223758091,1.713830491329393,0.017521169600586254
11/7/23,5.53,5.56,5.55,5.48,5.47,5.33,4.91,4.64,4.53,4.58,4.58,4.91,4.75,0.3490364753292641,-0.3021699408590979,-0.3389717906164372,0.03250979313837154,786.4077249690768,1.6096049640075822,0.017774986060518826
11/6/23,5.53,5.56,5.56,5.49,5.47,5.33,4.93,4.72,4.6,4.66,4.67,5.0,4.84,0.3810893291122823,-0.3339634966876044,-0.3645932135914747,0.03174095685032374,861.926051734928,1.5986146199608182,0.01817317575703848
11/3/23,5.53,5.56,5.53,5.5,5.45,5.29,4.83,4.62,4.49,4.55,4.57,4.93,4.77,0.4295603514463905,-0.3833729585391345,-0.4129490561037355,0.034676585862494766,989.4541514777924,1.5433135415262176,0.0176276194753216
11/2/23,5.52,5.56,5.54,5.53,5.5,5.38,4.98,4.78,4.65,4.68,4.67,4.99,4.82,0.3414425293795307,-0.2939009373006066,-0.328851931267752,0.0306544819502619,761.9827337529903,1.8094589960288383,0.018356465257580612
11/1/23,5.56,5.55,5.57,5.54,5.51,5.37,4.95,4.76,4.67,4.75,4.77,5.13,4.96,3.305988836526507,-3.250729844564879,-2.7655048679928242,-0.05012520813819418,8180.446151236978,125.33286513109189,0.018730192357600765
10/31/23,5.56,5.57,5.59,5.61,5.54,5.44,5.07,4.9,4.82,4.89,4.88,5.21,5.04,271.7925897240492,-271.73702808214244,-233.6435502990918,-0.04541926237386451,669860.690947281,132.5399901119123,0.019524800356644313
10/30/23,5.56,5.57,5.6,5.61,5.53,5.41,5.03,4.87,4.8,4.88,4.88,5.21,5.04,0.4440670450093708,-0.39587801322001565,-0.41419803095429675,0.029583774088205,1018.6580222093942,1.7615343168217361,0.019422208030917553
10/27/23,5.57,5.57,5.59,5.6,5.55,5.39,4.99,4.84,4.76,4.83,4.84,5.19,5.03,0.060118901888064596,-0.002920394351655045,-0.059012543597576766,0.01629950299305509,25.73141825986525,9.929203065957687,0.019236075908652197
10/26/23,5.57,5.57,5.59,5.6,5.55,5.39,5.02,4.89,4.79,4.86,4.86,5.19,5.01,0.06064766232167944,-0.003314079842181951,-0.058273817233260125,0.01594862428571521,26.96944133182234,9.397731994748735,0.01934163162293839
10/25/23,5.56,5.57,5.59,5.61,5.57,5.43,5.08,4.98,4.89,4.98,4.95,5.27,5.09,0.08178692234515061,-0.024852103333974945,-0.07666827787232972,0.019905128473566666,82.15648628658693,-0.00013481147179831773,0.019879617986468638
10/24/23,5.57,5.57,5.58,5.6,5.57,5.41,5.02,4.91,4.82,4.86,4.83,5.15,4.96,134.99747942986113,-134.9419661764855,-116.10489171790857,-0.047433321637187165,332113.6671123594,138.59904281421007,0.01930887774334786
10/23/23,5.57,5.57,5.58,5.59,5.56,5.42,5.05,4.89,4.81,4.87,4.86,5.19,5.01,0.7978434460328196,-0.742530469330164,-0.6872635309793775,-0.04120092321434109,1820.3445095047723,142.6265949655883,0.019405543212651095
10/20/23,5.56,5.56,5.58,5.61,5.54,5.41,5.07,4.93,4.86,4.93,4.93,5.27,5.09,0.06052972479739416,-0.0031692716737783365,-0.0559364089293872,0.014835969904282903,24.191464245513657,9.591785510570649,0.01969960515668553
10/19/23,5.58,5.57,5.6,5.62,5.56,5.44,5.14,5.01,4.95,5.0,4.98,5.3,5.11,73.7791993865176,-73.72364262131369,-63.30409080417675,-0.042572062262328486,182487.73049405275,152.05706164641094,0.020107991477129005
10/18/23,5.57,5.56,5.61,5.62,5.58,5.47,5.19,5.03,4.92,4.95,4.91,5.2,5.0,0.055526073328513614,0.0017245257617862697,-0.020787764281515075,-0.009027967675771693,69.66805733268924,11.992485994189224,0.019907916071471427
10/17/23,5.58,5.58,5.62,5.64,5.6,5.48,5.19,5.01,4.86,4.88,4.83,5.14,4.94,0.33956543270167105,-0.29062077666389263,-0.32393571846267555,0.028814757256591203,752.8452044537984,2.2265060094837503,0.01970191790279049
10/16/23,5.57,5.58,5.61,5.63,5.58,5.42,5.09,4.87,4.72,4.74,4.71,5.06,4.87,7.056406209476606,-7.000543486837696,-6.118347583209658,-0.05123337307824383,17050.618988131042,127.6961647278622,0.019004384696537577
10/13/23,5.6,5.58,5.62,5.62,5.57,5.41,5.04,4.8,4.65,4.66,4.63,4.97,4.78,0.21252394974555622,-0.15698818983960205,-0.2109941829898847,-0.020828108818900723,389.83631819481093,122.9488387061972,0.01860760973999649
10/12/23,5.61,5.59,5.63,5.63,5.58,5.43,5.06,4.82,4.69,4.73,4.7,5.05,4.86,19.793952144880173,-19.737958005388478,-17.121649308161466,-0.05235560913534762,48023.57080496909,121.76700417811043,0.018948561122207403
10/11/23,5.58,5.59,5.61,5.63,5.56,5.38,4.99,4.73,4.59,4.61,4.58,4.92,4.73,0.3350569649613764,-0.2876630600700236,-0.3287883037407373,0.033303314341583914,750.6733561144085,1.7853538888442424,0.018286451177907986
