Date,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,β0_nss,β1_nss,β2_nss,β3_nss,tau0_nss,tau1_nss,residual_nss,β0_ns,β1_ns,β2_ns,tau_ns,residual_ns
7/8/22,1.57,1.92,1.98,,2.68,2.96,3.12,3.14,3.13,3.16,3.09,3.53,3.27,0.12671734104142146,-0.10893742856554849,-0.979264762223462,2.329838477669611,774.7451148419277,2067.5061551269314,0.0013191473969831897,0.8089829265279929,-0.7866056879153174,-0.72291268333544,1170.0549979281107,0.00043896911621309356
7/7/22,1.55,1.9,1.95,,2.64,2.87,3.03,3.05,3.05,3.07,3.01,3.45,3.2,-0.05157167577248947,0.06855902252250125,-0.3466097159932469,0.6424869406533658,1059.8885396855287,1260.138118809611,0.0007402456273587063,0.44370381157709343,-0.4159451100151783,-0.35428992985587415,1223.5909880458062,0.0003823399169705044
7/6/22,1.36,1.7,1.9,,2.62,2.82,2.97,2.99,2.96,2.99,2.93,3.42,3.14,-0.006779780669723474,0.030052638218134562,-1.6919229329212275,0.8954955796556905,1285.3653001240755,481.8066463735381,0.0005352933118385919,0.03922307087157325,-0.02006687383868571,0.022992501335360998,139.73098241824906,0.00028579985326051204
7/5/22,1.33,1.71,1.9,,2.59,2.77,2.82,2.82,2.82,2.87,2.82,3.31,3.05,0.03588794060265252,-0.0006782907365366995,0.5321423912222265,-0.6793426985614825,1402.4057207675312,1527.3283317886396,0.0013864299208777564,1.2152586153834712,-1.1912582907835954,-1.2646770413322037,1136.0981457293046,0.00042091210478936155
7/1/22,1.27,1.68,1.73,,2.52,2.79,2.84,2.85,2.88,2.92,2.88,3.35,3.11,1.0944344566084738,-1.073158071866037,0.8827348537543214,-2.458882904242336,628.3765003418646,798.254844185566,0.0004159328670440849,1.4261437725053743,-1.4030070361385132,-1.54744399437956,705.1861258021621,0.0008881556142366125
6/30/22,1.28,1.68,1.72,,2.51,2.8,2.92,2.99,3.01,3.04,2.98,3.38,3.14,1.1135390667454947,-1.0800346626435147,0.3142098921625198,-0.807246912054729,1711.151691356045,771.780860001735,0.001189684396021774,0.7143399186005491,-0.69130305651294,-0.6006226359698823,1357.804075814206,0.0003892420833658723
6/29/22,1.12,1.53,1.78,,2.55,2.88,3.06,3.13,3.15,3.17,3.1,3.46,3.22,0.8866897352640503,-0.8662348605283698,-2.214008054049381,0.6500153093218913,1837.5832288721306,705.8885470187683,0.0004282693518410629,0.5135908943923078,-0.4914493087279319,-0.37099569855513637,1737.726069216732,0.0005003350795068695
6/28/22,1.12,1.59,1.79,,2.55,2.88,3.1,3.21,3.25,3.27,3.2,3.55,3.3,0.2667868731294039,-0.24481524414482456,0.3181810018998311,-0.438110735276173,1327.4765436193109,1058.004680735789,0.0007987134860486832,0.44489989618575165,-0.4192967648915206,-0.32489140380430354,1075.769431257047,0.0005909100799723299
6/27/22,1.16,1.57,1.79,,2.56,2.89,3.08,3.21,3.24,3.27,3.2,3.56,3.31,0.583202742312041,-0.5585736615576199,-1.183399198860935,1.2738311523513506,624.6131283474626,1413.0229192608736,0.0014381713240342686,0.22472761465309007,-0.20086625216850146,-0.05381013643806967,1696.3076571119102,0.0004656341326261462
6/24/22,1.19,1.6,1.73,,2.51,2.83,3.04,3.13,3.18,3.19,3.13,3.51,3.26,0.24959530208716074,-0.226342747111436,-0.004100950397653019,-0.1530868966546295,1297.6937976336992,1687.1769002065637,0.00042974703210837294,0.8049894533569902,-0.7793451795380518,-0.7604275794121379,1113.5514588455687,0.0005247984469399679
6/23/22,1.12,1.54,1.65,,2.44,2.78,3.01,3.12,3.14,3.16,3.09,3.45,3.21,0.7774760530559295,-0.7550092778916665,-1.289360110566709,0.3387825352303203,1116.7417199096606,521.9441779188442,0.00038129902672104425,0.5752927362613481,-0.5515512261458337,-0.511169741013198,1264.035474820885,0.0005071113700908242
6/22/22,0.98,1.42,1.61,,2.4,2.79,3.06,3.2,3.22,3.24,3.16,3.49,3.25,0.71087423474759,-0.6889836042608798,-0.609819393471867,0.04692394315072457,1251.7946954885942,1489.8268915126578,0.0006474123990546702,0.18440651388139304,-0.16069685427680283,-0.05864554953649417,1124.5285693081546,0.0005488967733411499
6/21/22,1.08,1.48,1.7,,2.46,2.92,3.21,3.35,3.38,3.39,3.31,3.63,3.39,0.45385958285614353,-0.4301087214920267,0.5366573641616948,-1.0413596220687618,1319.061195755634,1594.6435548951556,0.0005970834324575663,0.7378122519924637,-0.7112289110116051,-0.6369908087405485,2408.8979391304224,0.00067865176212599
6/17/22,1.15,1.5,1.63,,2.25,2.86,3.17,3.35,3.34,3.34,3.25,3.55,3.3,0.5401296755243553,-0.5196295674155469,0.8287595316996722,-1.0592292140750923,1163.7641019904372,1070.8137113650923,0.0009969093064420976,0.5807967206738702,-0.5598785884531294,-0.4721895085047803,1078.408757935227,0.0007033253136072017
6/16/22,1.19,1.47,1.59,,2.24,2.88,3.14,3.33,3.35,3.36,3.28,3.59,3.35,1.0768012071245696,-1.0517458492252265,0.03911364814450013,-1.0231275404126703,1429.8527131189555,1365.794359250569,0.0006690356055168917,0.09405679342889417,-0.07223219546974712,-0.053245992126947535,864.9935773684999,0.0009415502496844797
6/15/22,1.21,1.56,1.74,,2.32,2.93,3.2,3.35,3.38,3.39,3.33,3.64,3.39,0.31201670090374206,-0.2925871598634987,-1.7102382015819726,0.9621390124842986,1417.491162288221,769.8263447462648,0.0004580589689706692,0.86884965988974,-0.8447937739878537,-0.6864897074920925,1655.307480789474,0.0006007558308085894
6/14/22,1.19,1.55,1.83,,2.43,3.15,3.45,3.6,3.61,3.6,3.49,3.72,3.45,0.7913585222209111,-0.7599282846442108,0.1627389962191599,-1.5242595270024584,661.9713372646864,1138.4432904350506,0.0009361853678691395,0.16592307430299322,-0.13921821025382883,0.02899292061949533,1904.2424130126226,0.0006872399773049165
6/13/22,1.13,1.45,1.73,,2.25,2.89,3.4,3.56,3.56,3.53,3.43,3.68,3.42,0.17853887008977637,-0.15760776840178264,-0.2413071407304462,0.24459670834307448,2237.1747611885007,1598.9113555387903,0.0008026219978796401,0.6058905306245463,-0.5817642860306235,-0.5057578985759321,1330.5546743622333,0.0007609167241263069
6/10/22,1.1,1.25,1.39,,1.98,2.58,3.06,3.21,3.25,3.24,3.15,3.45,3.2,1.1394043047271403,-1.1120460073158065,-0.36177504093600776,-1.3921377106635633,695.2307016459241,1284.4382329176715,0.0009146378159285974,0.9737294786475132,-0.9458302840085917,-0.8386963764885466,1743.4891437692945,0.0009654625689041777
6/9/22,1.05,1.17,1.3,,1.81,2.35,2.83,2.99,3.07,3.08,3.04,3.4,3.18,0.27852518461752857,-0.261196857764559,-0.19755785989586927,-0.05203230550773995,1050.8740894079972,1379.9556433013995,0.0010391250250559462,0.6546929148685335,-0.6308688969655738,-0.6262429208771996,996.1318136619427,0.0006656606569595218
6/8/22,0.89,1.1,1.28,,1.77,2.29,2.78,2.94,3.03,3.06,3.03,3.4,3.18,0.35369264195986605,-0.33491712680666863,-0.30152847413036643,0.06786651641346286,789.3227697088748,619.1429888749275,0.0006596371439083651,0.08205541867138531,-0.06292860320346821,0.05487796499822139,1053.7407193520912,0.0005133364686974766
6/7/22,0.87,1.08,1.26,,1.75,2.26,2.75,2.91,2.99,3.02,2.98,3.35,3.13,0.7878602157958668,-0.7790240543053206,-1.074532494538686,0.3627994505507467,1507.4753732782142,908.3928418311516,0.001363298511782607,0.5375891447623934,-0.5170875308555081,-0.4431360742466058,1613.7680087828107,0.000611629634696027
6/6/22,0.88,1.07,1.26,,1.74,2.23,2.73,2.94,3.03,3.07,3.04,3.41,3.19,0.9943824638118315,-0.9632330579153532,-0.6289897878491971,-0.3858414379435434,712.0803105610057,550.3875532228456,0.0016806647837827886,0.8521663602943954,-0.8309373388136301,-0.8206595935134693,1609.8292397957641,0.0007732848101438604
6/3/22,0.87,1.05,1.21,,1.68,2.18,2.66,2.87,2.95,2.99,2.96,3.33,3.11,0.10435411301780839,-0.08491580591241613,-1.2241832966583286,1.2336755185855761,1224.986777945773,1177.4556108124152,0.00047611973583994426,0.7981446823929367,-0.7780860398331454,-0.6678886450432033,1408.140220327877,0.0005602255708636252
6/2/22,0.85,1.05,1.17,,1.64,2.15,2.65,2.83,2.92,2.95,2.92,3.3,3.09,0.3349690490345378,-0.3158772944356433,-0.23674482990604812,-0.03713072521708773,779.2164497044092,1313.6501830027833,0.0005428329670749419,0.9647127238646356,-0.9415595995962801,-1.0111243111775141,1309.9362553275691,0.0009166798244099216
6/1/22,0.77,0.9,1.15,,1.63,2.16,2.66,2.84,2.94,2.98,2.94,3.31,3.09,0.07583845685692439,-0.05515801994914864,0.786000498531805,-0.6971966458917567,1249.4981148274103,1172.8045646062587,0.0005929726193260774,0.6143514667037357,-0.5943931292896066,-0.4448234038196394,1690.1632887900469,0.0005887372801433678
5/31/22,0.73,0.89,1.16,,1.64,2.08,2.53,2.71,2.81,2.87,2.85,3.28,3.07,0.13074870308451242,-0.11918751228570007,-0.028413163480679127,0.0384733134517343,758.8494672707378,569.1267009702241,0.0007248240265608495,0.5938893497780577,-0.5743011693688269,-0.4372035761237845,1334.4603913066478,0.0005642732341006073
5/27/22,0.69,0.91,1.08,,1.54,2.01,2.47,2.64,2.71,2.76,2.74,3.16,2.97,0.8884609956721807,-0.8690015767027508,-0.6276623628134438,-0.7132038517418913,595.3020739944917,1730.3379881431804,0.0007391570365987546,0.41670374900950236,-0.4007641626744464,-0.26618193711400195,1429.7634142166946,0.0004995009370521264
5/26/22,0.71,0.9,1.07,,1.52,1.99,2.46,2.63,2.7,2.75,2.75,3.18,2.99,0.8688277776851029,-0.8531297702504931,0.422899596376498,-1.6937885338152108,665.7877071619178,935.8925741024901,0.0004976218193992168,1.0558160903254552,-1.0365952485933112,-1.0799684255328375,1202.7547792258094,0.0007632233209978711
5/25/22,0.58,0.88,1.06,,1.52,2.01,2.48,2.63,2.71,2.76,2.75,3.14,2.97,0.7370023148833833,-0.7289470537958356,-1.1857698662221245,0.4799679424242136,1281.4536222945558,1007.9027328254418,0.0013441915256119019,0.7321530491523904,-0.7150727879839975,-0.6400473833059823,1153.521200414956,0.0005638105972641843
5/24/22,0.55,0.88,1.06,,1.53,2.02,2.5,2.66,2.76,2.8,2.76,3.16,2.98,-0.1846550131794582,0.21915427500003432,0.6752340010656592,-0.9253643018702528,459.9054038995499,1045.196546173883,0.004052838981342927,0.048900201418120626,-0.03198474723810653,0.0904117469508888,847.966877383567,0.0004807066140744715
5/23/22,0.55,0.9,1.07,,1.57,2.09,2.65,2.8,2.88,2.9,2.86,3.26,3.08,0.5957148132455196,-0.5792240464994608,0.1969214692152852,-0.9910657848276974,1167.5262109019122,1715.4914927988011,0.0006683589640823609,0.9039625911372382,-0.8951612960878158,-0.3191422160023682,1381.3002856425123,0.0036605858072900426
5/20/22,0.63,0.87,1.03,,1.51,2.07,2.6,2.73,2.8,2.82,2.78,3.17,2.99,0.8144337818210912,-0.7972062474429996,-1.152415173940798,0.6281989342230339,919.1964856060233,1256.8526468559262,0.0011196155510982695,0.31889343006997,-0.2925355870478671,-0.2754949327995938,801.9415599191269,0.001190142578851506
5/19/22,0.65,0.91,1.05,,1.52,2.11,2.63,2.78,2.84,2.87,2.84,3.24,3.05,1.230212326860715,-1.2121138256832835,-1.2837152812585089,0.27526941047561754,1092.1534309689255,1344.4409828404507,0.001288113775830141,0.2704712017781213,-0.25284228158648564,-0.16367939099222792,982.5390314103054,0.0005727436253146767
5/18/22,0.56,0.85,1.03,,1.56,2.16,2.68,2.84,2.89,2.91,2.89,3.24,3.07,0.5782610852776177,-0.5602730842259619,0.06772119942034888,-0.5064926676599352,1214.9166305981453,1222.321324431528,0.0006655300013751847,0.507357470306375,-0.49120920158573145,-0.34943926735432895,1056.1265542223398,0.000718760766897419
5/17/22,0.61,0.85,1.06,,1.57,2.16,2.71,2.89,2.96,3.0,2.98,3.36,3.17,1.0301033130691226,-1.0061369321176774,0.0018954957332324995,-0.9698301014713483,829.5953556440684,701.8356857422555,0.001270309044764957,1.1806188115563296,-1.1641765076274906,-1.04346077093782,1638.2990624366948,0.0007798489663078779
5/16/22,0.64,0.85,1.07,,1.54,2.07,2.58,2.75,2.83,2.89,2.88,3.3,3.09,0.3944880224619555,-0.37011012215073347,-0.34822314272167393,0.032308085872256864,1296.339941551685,1685.5718273561401,0.0009070810555484012,0.8626031914049814,-0.8465563131752184,-0.7549311274608338,889.4849423059412,0.0008563408193634214
5/13/22,0.67,0.79,1.03,,1.47,2.04,2.61,2.79,2.89,2.95,2.93,3.32,3.1,0.7769448957266933,-0.7577096323101669,-1.040340013276432,0.4383260837917035,1288.1764422641106,1264.7122253315993,0.000781770285743968,0.3523409838801116,-0.3325554863482903,-0.13655950374669035,1927.9870466113844,0.000629441722422381
5/12/22,0.61,0.77,0.96,,1.44,1.96,2.56,2.73,2.81,2.86,2.84,3.22,3.0,1.324589730901916,-1.3095713084446121,-0.8337272125665988,-0.4297457796965873,1224.1587450923173,1565.3700751135964,0.0008248294194660106,0.3492706162576542,-0.33438047453086917,-0.15376258117203864,1618.8519316561456,0.0006386751034771143
5/11/22,0.59,0.77,0.91,,1.43,1.99,2.66,2.81,2.89,2.94,2.91,3.25,3.05,0.6077303326629616,-0.5881690623320679,1.5243677846356471,-1.1780694764682267,1893.130328805752,1037.4900304401726,0.0008993299738762004,0.09928013714362226,-0.08527608828286959,0.011888652351609429,572.3446633275257,0.0006662788130298489
5/10/22,0.57,0.75,0.89,,1.44,2.01,2.62,2.81,2.91,2.99,2.99,3.31,3.12,0.4232275779446783,-0.40861917353287036,0.41004028463846065,-1.2374171668900815,745.9980331757715,1516.3856988157213,0.0006476914885212718,0.30720336394344816,-0.2890695598920331,-0.3255047170785894,-763.8614636084839,0.0008859433781011575
