Date,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,β0_nss,β1_nss,β2_nss,β3_nss,tau0_nss,tau1_nss,residual_nss,β0_ns,β1_ns,β2_ns,tau_ns,residual_ns
7/7/22,1.55,1.9,1.95,,2.64,2.87,3.03,3.05,3.05,3.07,3.01,3.45,3.2,0.06750367906556629,-0.04871326790457948,0.5226196874816784,-0.5760507589183284,62.27863156755434,72.9201125167925,9.544501892424824e-05,0.019810675618842474,0.001153813216113961,0.04701132293880315,84.85461859406016,0.00012949299240862008
7/6/22,1.36,1.7,1.9,,2.62,2.82,2.97,2.99,2.96,2.99,2.93,3.42,3.14,0.006202800181932266,0.013930440486697532,-0.04642567495324161,0.11979924503032403,110.45098794628159,118.25688713825721,0.00017262742100688917,0.09736113264312954,-0.07367920334978476,-0.04206079554072575,446.40457359071826,0.000301226641613362
7/5/22,1.33,1.71,1.9,,2.59,2.77,2.82,2.82,2.82,2.87,2.82,3.31,3.05,-0.02059957754460435,0.04079573540874781,0.17666938486538708,-0.06674462573998471,177.08997846485215,158.87414865266243,0.00016096457285704152,0.04250603430834321,-0.02036068153202398,0.0005074490840343486,155.97197974639604,0.0002148491564015901
7/1/22,1.27,1.68,1.73,,2.52,2.79,2.84,2.85,2.88,2.92,2.88,3.35,3.11,0.03702425557127248,-0.021557625695713588,-0.18751822758349215,0.1959101920285985,22.610724536487503,18.89973716303291,4.772173627857024e-05,0.003353556622434849,0.016583527103417726,0.07224407777400813,139.35848355540276,0.00017000577728707713
6/30/22,1.28,1.68,1.72,,2.51,2.8,2.92,2.99,3.01,3.04,2.98,3.38,3.14,0.062353151372441636,-0.04523693242140125,-0.2783732902512278,0.24717008468487714,73.9933886387699,54.01893791467289,0.00010594708325987098,0.019209207163028486,-0.0006178850997760842,0.050976519298664535,72.79655356069519,0.00015486726096555068
6/29/22,1.12,1.53,1.78,,2.55,2.88,3.06,3.13,3.15,3.17,3.1,3.46,3.22,-0.07940853631868527,0.09913732010671404,0.2814059297266484,-0.07443697694742551,213.6270028714529,191.67729602348,0.00025576055949590436,0.0014685395404914062,0.01753251365208218,0.0879070232927852,114.07841483088335,0.00022835288817488496
6/28/22,1.12,1.59,1.79,,2.55,2.88,3.1,3.21,3.25,3.27,3.2,3.55,3.3,-0.06229157765071032,0.08219619636888456,0.08642959356379563,0.11559187374208313,165.83231364806548,239.98297543712707,0.0002464565666239225,0.022202653613829424,-0.004369011094062205,0.0533111440265657,51.99461175617297,0.0001781678678890156
6/27/22,1.16,1.57,1.79,,2.56,2.89,3.08,3.21,3.24,3.27,3.2,3.56,3.31,0.013497082858919096,0.005372632274054684,0.3904225155006181,-0.3199695977085296,86.70673479342355,86.72375793892954,0.00020312850398235017,0.02412630021421127,-0.008071856426911075,0.049933087460213244,32.56351769548429,0.0001562784700341938
6/24/22,1.19,1.6,1.73,,2.51,2.83,3.04,3.13,3.18,3.19,3.13,3.51,3.26,0.08887186599955185,-0.07291109482325418,-0.19784290295777363,0.14129051632120548,111.59647726549339,51.99629792277372,0.00012681736833036362,0.03174376939336816,-0.02093338754410186,0.021780690616969082,6.881209265120619,2.1099547678017967e-05
6/23/22,1.12,1.54,1.65,,2.44,2.78,3.01,3.12,3.14,3.16,3.09,3.45,3.21,0.028672994236301624,-0.01425089339568556,-0.0645134146353089,0.09819728896668126,17.99219159193843,17.350035038773008,7.110051442484736e-05,0.031216138837053372,-0.020593945148203584,0.02239480815427732,7.437823934840421,2.191516214992781e-05
6/22/22,0.98,1.42,1.61,,2.4,2.79,3.06,3.2,3.22,3.24,3.16,3.49,3.25,0.01904992519737788,-0.003295572887792345,0.134088267655957,-0.07096750028673335,54.43926634346573,54.4327126173546,0.00019683198530450754,0.015558455205864526,0.0009160061777970754,0.06977240988417235,69.11074357480504,0.0002118624586879895
6/21/22,1.08,1.48,1.7,,2.46,2.92,3.21,3.35,3.38,3.39,3.31,3.63,3.39,0.044405487943342946,-0.0318222249557989,-0.24155692211800545,0.26153306373149043,36.23344877295516,28.787266486242704,5.773576734855964e-05,0.032194718998697025,-0.022880809578234112,0.031129482631575292,8.288582473828551,2.459874666027373e-05
6/17/22,1.15,1.5,1.63,,2.25,2.86,3.17,3.35,3.34,3.34,3.25,3.55,3.3,-0.006501730928750232,0.031702236905215966,0.08730221031635235,-0.04606643332123235,158.21377942523762,-0.0005075140274223289,0.0,0.029417240460941484,-0.01606747496152395,0.03930393382403444,17.374423657074246,4.937948395568613e-05
6/16/22,1.19,1.47,1.59,,2.24,2.88,3.14,3.33,3.35,3.36,3.28,3.59,3.35,0.10136187196722354,-0.08692582674249646,-0.2070061904603169,0.14352270492492183,122.71526023738296,49.952210766734304,0.0001118792676502709,0.026474962042298905,-0.013513668330164636,0.05042650816952601,22.485540656409142,9.076449536886336e-05
6/15/22,1.21,1.56,1.74,,2.32,2.93,3.2,3.35,3.38,3.39,3.33,3.64,3.39,0.024281541556379925,-0.012472753123999158,0.048718885506320225,0.04714208488454324,99.94273303416455,11.078068136599832,1.1131632343651141e-05,0.036827769455019595,-0.02777344504124069,0.00342646739340963,4.329904383511183,2.0018818825448015e-05
6/14/22,1.19,1.55,1.83,,2.43,3.15,3.45,3.6,3.61,3.6,3.49,3.72,3.45,0.03444123085618106,-0.023672901214920015,0.10712267039365056,-0.06795781704996728,11.951242890750617,13.267749365989989,1.1843818392959778e-05,0.03093984453350344,-0.018377973405710107,0.04768725097057638,15.24475791074981,4.51850587839572e-05
6/13/22,1.13,1.45,1.73,,2.25,2.89,3.4,3.56,3.56,3.53,3.43,3.68,3.42,0.0923675930364419,-0.0782563741437444,0.4633634981226231,-0.550461165978382,62.128116739146556,83.37235524594095,0.0001226110726538122,0.03509097530199963,-0.026404223060167258,0.028854875292997552,8.62276509003808,5.218424416358529e-06
6/10/22,1.1,1.25,1.39,,1.98,2.58,3.06,3.21,3.25,3.24,3.15,3.45,3.2,0.012381153235897065,-0.002830294391331976,0.06705400529428393,0.049138522111364547,130.34849591329032,13.608605466320844,8.084626664583382e-06,-0.007441669825445051,0.023740348348666333,0.1116221005637495,113.6561825618752,0.0002105488641625264
6/9/22,1.05,1.17,1.3,,1.81,2.35,2.83,2.99,3.07,3.08,3.04,3.4,3.18,0.06077831050845678,-0.04859949957838152,0.20729208625524692,-0.24141462092327726,50.84862181840164,74.64630432488448,5.890815279996483e-05,0.03227603858492608,-0.024252154687617967,0.015331629463285965,9.015510499200136,6.940106192188622e-06
6/8/22,0.89,1.1,1.28,,1.77,2.29,2.78,2.94,3.03,3.06,3.03,3.4,3.18,0.012166326781910824,0.001097179052747592,-0.04446712363312792,0.1215361739966739,80.48219940838744,80.4785448536659,0.00014635843975856067,0.052539228881450004,-0.035398285224831356,0.0001395289884588433,121.61267281374697,0.0004055639855783966
6/7/22,0.87,1.08,1.26,,1.75,2.26,2.75,2.91,2.99,3.02,2.98,3.35,3.13,0.04009332293599628,-0.03228679434951215,0.045902426116024374,-0.04398608402953261,18.463331670973027,54.8412895674109,1.583794436487705e-05,-0.4761683493564556,0.4480997096525838,-0.6154168210032562,-0.00021262742830191472,0.0
6/6/22,0.88,1.07,1.26,,1.74,2.23,2.73,2.94,3.03,3.07,3.04,3.41,3.19,0.23168917015903767,-0.2189477309446674,-0.1114370011919551,-0.5873502021785992,25.45282682281196,170.61978150866875,0.00018106397376054946,-0.0021594117519505465,0.0156507619080042,0.10376694191066654,109.51091370622223,0.00015853794863267956
6/3/22,0.87,1.05,1.21,,1.68,2.18,2.66,2.87,2.95,2.99,2.96,3.33,3.11,0.04253435550237438,-0.03407922067406074,-0.11961371611570357,0.13913952621599732,46.80429615315216,30.818714884425518,2.381938312043485e-05,0.004135235756119435,0.008790246204573565,0.09042583521859879,97.96641099487539,0.00014325510311297355
6/2/22,0.85,1.05,1.17,,1.64,2.15,2.65,2.83,2.92,2.95,2.92,3.3,3.09,0.03758268231156548,-0.030452309877004348,0.0008076478323859285,0.05492693450800515,88.66287486863418,17.500122207767884,9.148967945389735e-06,0.030719037486174657,-0.023553857587998845,0.018905579259032548,11.356812353204614,8.845721287095739e-06
