Date,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,β0_nss,β1_nss,β2_nss,β3_nss,tau0_nss,tau1_nss,residual_nss,β0_ns,β1_ns,β2_ns,tau_ns,residual_ns
7/22/22,2.15,2.29,2.49,,2.97,3.01,2.98,2.93,2.87,2.85,2.77,3.23,3.0,-0.06206222527457027,0.08806911183727822,2.531876725572424,-2.5210009439023637,819.3851156694009,874.4105566909093,7.42581147206234e-05,0.3863988874504085,-0.35955034678158276,-0.2439201520648863,4222.146747008638,8.647983058855609e-05
7/21/22,2.15,2.3,2.48,,3.0,3.11,3.1,3.07,3.0,2.99,2.91,3.33,3.08,0.5837339247749687,-0.5575891715348533,-0.7753278868985254,0.04892454576452304,3265.977142162801,212.06222220998086,8.66980157002439e-05,1.1654249624496416,-1.1378530346249949,-0.9845668449142572,5439.900308450338,0.00011324189055214335
7/20/22,1.92,2.29,2.51,,3.04,3.18,3.25,3.25,3.18,3.15,3.04,3.43,3.17,0.9656850717327298,-0.9397147493734728,-1.3882733474836977,0.183428897547107,882.2272555649292,240.2227420747413,0.00012966116748972973,0.37302228443020524,-0.3449583001723141,-0.1774722641083059,4580.290708433691,0.00018533714849682808
7/19/22,1.93,2.29,2.52,,3.06,3.18,3.23,3.22,3.14,3.11,3.01,3.42,3.17,0.42093868700327797,-0.394539727134564,-1.4822085788379502,0.24837099332726792,3652.5732126529983,528.9367686651082,0.00013674541444407747,1.1728965603356978,-1.1448677369202735,-0.9780149856302651,5113.405667265586,0.00017849348070531418
7/18/22,1.96,2.28,2.5,,3.02,3.13,3.15,3.15,3.06,3.05,2.96,3.39,3.14,0.8813713368652458,-0.8550468256102486,0.6638619802722416,-3.848905954758115,1041.6697803969764,2921.8176982288646,0.00012018615699953354,0.318608125576874,-0.2910374923565042,-0.18097618574331686,3098.9977999082193,0.0001528379512674054
7/15/22,1.98,2.26,2.37,,2.94,3.12,3.13,3.14,3.05,3.03,2.93,3.34,3.1,0.7210674667375297,-0.6950996873000757,-4.1056001856711655,2.237999051375341,2021.7650609026498,1222.429246996601,0.00011729888571811312,0.5443142300543866,-0.5170605162932004,-0.316784372142377,5673.07595362635,0.00015229312804096985
7/14/22,1.99,2.32,2.4,,2.93,3.16,3.15,3.16,3.06,3.05,2.96,3.36,3.11,0.6960794236148548,-0.6699793448470077,1.4041729623579158,-3.2587741112234268,951.7023178428891,1608.431263765084,0.00011406187080036715,0.46062719422134113,-0.4331260492159417,-0.3039282541849375,3809.138008563387,0.00015052043036236908
7/13/22,1.78,2.2,2.39,,2.96,3.21,3.13,3.14,3.02,3.0,2.91,3.35,3.08,0.5910576210555722,-0.5653852491314805,0.9921295816824438,-2.8102762010443216,908.6916168542391,1807.535491305678,0.0001594567417161929,0.6374286819930259,-0.6103632730083159,-0.5002861079254659,3322.084009061564,0.00020039423642186606
7/12/22,1.63,2.01,2.22,,2.78,3.07,3.03,3.07,3.01,3.01,2.96,3.37,3.13,0.373280698474238,-0.349477159757141,0.36769262813881476,-1.8431671371486835,602.4466556372324,1899.004274049247,0.00015911456656207148,0.049042369413959626,-0.02382051041167884,2.0682092227471336e-05,292.8714321960645,0.0002083009956346618
7/11/22,1.58,1.95,2.18,,2.79,2.97,3.07,3.09,3.05,3.06,2.99,3.43,3.18,0.3349167580111952,-0.31154755885583274,-1.5468543941494215,0.7670162998064259,1191.8075716881026,596.1038289667682,0.00016531600776177193,0.7430812225078494,-0.7174591712395211,-0.5206735115301164,3714.469958347486,0.0002457126615656487
